번호,정책유형,정책명,정책 요약,주관기관
461,참여.권리,대한민국 육군창업경진대회,야전부대 창업동아리 '붐' 조성과 창의적 아이디어를 가진 장병의 역량을 강화하여 생산적인 군 복무를 유도,국방부
462,일자리,청년장병 진로도움프로그램,"청년장병 진로고민 해소를 위한 기초적 진로지도 교육부터 개인별 특성을 고려한 1:1취업상담까지 ONE-STOP으로 이루어지는 청년장병 특화 진로도움 프로그램. 부대(대대급)로 찾아가는 진로 및 취업교육과 1:1상담을 통한 진로지도, 취업정보 제공 및 취업 알선 등 진행",국방부
463,교육,제대군인 창업 멘토링 지원사업,- 국토방위의 임무를 성실히 수행하고 전역한 제대군인의 원활한 사회복귀 도모 - 제대군인의 사회 안착 및 성공 창업을 지원하기 위해 창업 준비 과정 또는 창업 후 사업 추진 과정에서 마주할 수 있는 다양한 문제점을 창업 분야별 전문가와 함께 해결방안 모색,국가보훈부
464,일자리,어선청년임대사업 청년어업인 모집,"청년어업인과 어선주 간 임대용 어선을 중개하고 임차료의 50%(월 최대 250만 원)를 지원하는 사업으로, 어선어업을 새롭게 시작하려는 청년의 진입장벽을 낮추고 어업을 지속하기 어려운 기존의 어업인에게는 안정적인 소득원을 제공한다.",한국수산자원공단
465,복지.문화,국군 휴가보상 제도,"휴가 중 독립기념관 방문 관람(방문 확인) 하면, 추후 휴가 시 1일의 휴가를 보상",국가보훈부
466,교육,찾아가는 창업동아리 멘토링,도전·혁신·창의 인재양성을 위한 국가 국정과제의 일환으로 창업에 관심 혹은 역량을 갖춘 장병 대상으로 대상별 맞춤 교육과 집중 멘토링 지원을 통해 범부처 창업경진대회와 연계될 수 있도록 체계적인 ONE-STOP 창업지원 서비스 체계 구축,국방부
467,일자리,디지털 분야『청년고민해결단 온라인 멘토링』청년멘티 모집,"디지털 분야 취·창업, 연구, 창작 등 청년 멘토단의 온라인 멘토링을 통해 청년들의 진로설계 및 취·창업 준비를 지원하는 디지털 분야『청년고민해결단 온라인 멘토링』지원",과학기술정보통신부
468,일자리,해외 K-Move 센터 운영,"코트라 해외무역관 등을 활용하여 양질의 해외일자리 발굴 및 취업알선, 헬프데스크 운영을 통한 취업자 사후관리 및 애로사항 해소 지원, 현지 취업 박람회 개최를 통한 취업 지원 등",고용노동부
469,주거,근로자 생활안정자금 융자사업,"생계곤란을 겪는 근로자에게 의료비, 혼례비, 장례비, 노부모요양비 등의 생계비를 저리로 융자하여 생활안정 및 근로의욕을 고취하기 위한 사업",고용노동부
470,일자리,월드잡플러스(해외통합정보망),"해외취업을 희망하는 청년들에게 해외일자리 정보, 해외 생활정보, 취업비자 등 다양한 해외취업 정보제공 등을 통해 해외취업 활성화 도모",고용노동부
471,복지.문화,긴급복지 사회복지시설이용지원,생계곤란 등의 위기상황에 처하여 도움이 필요한 사람을 일시적으로 신속하게 지원함으로써 이들이 위기상황에서 벗어나도록 합니다.,기초생활보장과
472,일자리,국가인적자원개발 컨소시엄,"중소기업 재직근로자의 직업훈련 참여 확대와 신성장동력분야, 융복합분야 등의 전략산업 전문인력육성, 산업계 주도의 지역별 직업훈련기반 조성 등을 위해 공동훈련에 필요한 훈련 인프라와 훈련비 지원 사업",고용노동부
473,교육,청년도전지원사업,구직단념청년 등에게 구직의욕 고취 및 자신감 강화를 위한 맞춤형 프로그램을 제공하여 노동시장 참여 및 취업촉진 지원,고용노동부
474,교육,학점은행제 학습자 학자금대출(하반기),평가인정 학습과정 학습자의 학업 부담 경감을 위한 학자금대출,교육부
475,교육,한국장학재단 일반전환대출,과거 상대적으로 고금리였던 학자금대출('09.2학기 ~ '12년 일반상환학자금대출)을 저금리로 전환함으로써 채무자의 이자 및 상환부담을 경감토록 하는 대출 제도,교육부
476,일자리,해외 K-Move 센터 운영,"코트라 해외무역관 등을 활용하여 양질의 해외일자리 발굴 및 취업알선, 헬프데스크 운영을 통한 취업자 사후관리 및 애로사항 해소 지원, 현지 취업 박람회 개최를 통한 취업 지원 등",고용노동부
477,일자리,청년일자리 도약장려금,"기업의 청년고용 확대를 지원하고, 취업애로 청년의 취업을 촉진함으로써, 청년고용 활성화를 목적으로 하는 정책",고용노동부
478,주거,근로자 생활안정자금 융자사업,"생계곤란을 겪는 근로자에게 의료비, 혼례비, 장례비, 노부모요양비 등의 생계비를 저리로 융자하여 생활안정 및 근로의욕을 고취하기 위한 사업",고용노동부
479,일자리,월드잡플러스(해외통합정보망),"해외취업을 희망하는 청년들에게 해외일자리 정보, 해외 생활정보, 취업비자 등 다양한 해외취업 정보제공 등을 통해 해외취업 활성화 도모",고용노동부
480,교육,예술체육비전장학금,전공분야별로 재능과 소질을 개발하여 예술 및 체육분야를 선도할 수 있는 인재로 육성하기 위해 지원하는 장학금,교육부
481,교육,전문기술인재장학금,취업역량 개발 노력이 우수한 전문대 학생이 안정적으로 학업 및 자기개발에 정진할 수 있도록 지원하여 전문기술인재로 육성,교육부
482,교육,인문100년장학금,인문학 소양을 갖춘 인재를 양성하기 위해 인문사회계열 학생에게 학자금을 지원하는 장학금,교육부
483,교육,농촌학자금융자,농산업분야 전문인력 육성 및 농어촌 출신 학부생의 안정적 고등교육기회 보장을 위한 등록금 무이자 대출제도,교육부
484,교육,유예대출_일반상환학자금 특별상환유예,일반 상환 학자금 대출자 중 학부 또는 대학원 졸업 후 경제적으로 곤란한 사람에 대해 대출의 원금과 이자상환을 일정기간 유예하는 제도 ※ 학점은행제 학습자 학자금대출은 제외※ 해당 제도는 최초 1회에 한하여 이용가능(기이용자는 추가신청 불가),교육부
485,교육,재학생 맞춤형 고용서비스,-,□
486,복지.문화,청년내일저축계좌,"근로빈곤층 청년의 생계수급자 등으로의 하락을 사전에 예방하고, 일하는 중간계층 청년이 사회에 안착할 수 있도록 자산형성을 지원합니다.",자활정책과
487,복지.문화,예술활동준비금,"예술인들이 경제적인 이유로 창작활동을 중단하지 않도록, 예술활동 소득이 낮은 예술인들을 실질적으로 지원하는 사업입니다.",문체부/한국예술인복지재단
488,복지.문화,"예술인 생활안정자금(대출) 신청(매월 1일~10일, 예산소진시까지)","생활안정자금 대출은 결혼자금, 의료비, 부모 요양비, 장례비, 긴급 생활자금 등 예술인의 생활안정 기반 마련에 도움을 드리기 위한 상품입니다. (결혼자금, 의료비, 부모 요양비, 장례비, 긴급 생활자금)",문화체육관광부/한국예술인복지재단
489,복지.문화,자립준비청년 자립수당 지급,자립준비청년(보호종료아동)에게 자립수당을 지급하여 보호종료 후 경제적 부담을 완화하고 복지향상을 통해 안정적 사회정착 및 성공적 자립을 지원합니다.,아동권리과
490,복지.문화,영주귀국 사할린한인 정착비 및 시설운영지원,일제강점기 강제징용당한 사할린한인을 대상으로 영주귀국 대상자를 선정하여 귀국 및 정착생활에 필요한 비용을 지원합니다.,노인정책과
491,참여.권리,2024년 K-스타트업 그랜드챌린지 글로벌 창업기업 보육 액셀러레이터 모집 공고,"우수한 글로벌 창업기업 유치, 국내 창업 및 비즈니스 정착 지원을 위해 글로벌 창업지원 역량을 갖춘 「2024년 K-스타트업 그랜드챌린지」의 글로벌 창업기업 보육 액셀러레이터를 모집 공고합니다.",-
492,복지.문화,"자산형성지원사업(희망저축계좌Ⅰ, Ⅱ)",희망저축계좌를 통해 일하는 생계·의료·주거·교육급여 수급가구 및 차상위계층이 자활에 필요한 자산을 형성할 수 있도록 지원합니다.,자활정책과
493,교육,청년 체인지업 프로젝트 참여자 모집,마음 건강 향상과 사회적 관계 맺음의 기회를 만들어 갈 고립‧은둔 극복 의지가 있는 청년 참여자 지원 정책,청년재단
494,주거,청년매입임대주택,"LH에서 주택을 매입하여 청년(만19세~39세), 대학생 및 취업준비생을 대상으로 시중시세 40~50% 수준으로 임대하는 주거 정책",한국토지주택공사
495,일자리,청년장병 진로상담 및 일자리 지원,만 34세이하 전역예정군인에게 사회복귀 지원,국가보훈처
496,복지.문화,문화가 있는 날,국민이 일상에서 문화를 쉽게 접할 수 있도록 매달 마지막 수요일과 그 주간에 다양한 문화혜택을 제공하는 날,□
497,복지.문화,2023년 귀속 근로장려금 · 자녀장려금 정기 신청(5월),"(1)소득과 재산이 일정 금액 미만인 근로자, 종교인 또는 사업자(전문직 제외)가구에 대해 일하는 만큼 가구원 구성과 총급여액 등(부부합산)에 따라 산정된 근로장려금을 지급하여 근로를 장려하고 소득을 지원하는 일과 연계된 복지제도입니다. (2)자녀양육을 지원하기 위해 총소득(부부합산) 7,000만 원 미만이면서 부양자녀(18세 미만)가 있는 경우 1명당 최대 100만 원을 지급하는 제도입니다.",국세청
